label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,,,,,,,,,,,,,,,,
1000,36.0820385,140.079454,99.467493,0,0,0,0,1,-1,,,,,,,,,,,,,,,,
1001,36.0820335,140.0794911,85.346095,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,36.082034,140.0794987,95.039262,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1003,36.0820309,140.0795422,91.844779,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1004,36.0820297,140.0795883,93.547932,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1005,36.0820274,140.0796342,116.955460,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1006,36.0820117,140.0796724,121.389703,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1007,36.0819938,140.0797087,96.573215,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1008,36.0819896,140.0797538,105.082554,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1009,36.0819803,140.0797965,101.079452,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1010,36.0819734,140.0798401,96.459624,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1011,36.0819692,140.079886,101.866184,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1012,36.081962,140.0799284,99.877677,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1013,36.0819554,140.0799753,98.264668,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1014,36.08195,140.0800213,94.403231,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1015,36.0819471,140.0800679,95.346239,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1016,36.0819435,140.0801155,105.888976,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1017,36.0819337,140.0801581,105.169464,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1018,36.0819243,140.080201,117.333057,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1019,36.0819078,140.0802405,144.746534,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1020,36.0818775,140.080267,157.297992,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1021,36.0818435,140.0802846,164.436190,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1022,36.0818081,140.0802968,156.086318,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1023,36.0817742,140.0803154,160.455448,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1024,36.0817421,140.0803295,167.287501,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1025,36.0817052,140.0803398,170.719760,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1026,36.0816686,140.0803472,173.243295,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1027,36.0816304,140.0803528,185.751977,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1028,36.0815959,140.0803485,182.599634,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1029,36.0815603,140.0803465,182.612197,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1030,36.0815231,140.0803444,182.280506,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1031,36.0814886,140.0803427,184.989862,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1032,36.0814525,140.0803388,183.920012,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1033,36.0814124,140.0803354,182.654964,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1034,36.0813758,140.0803333,185.337730,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1035,36.0813412,140.0803293,183.852967,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1036,36.081304,140.0803262,178.534184,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1037,36.0812661,140.0803274,176.651946,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1038,36.0812288,140.0803301,163.110301,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1039,36.0811926,140.0803437,152.393027,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1040,36.0811603,140.0803646,142.849794,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1041,36.0811331,140.0803901,140.357090,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1042,36.0811053,140.0804186,130.763031,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1043,36.0810821,140.0804519,130.123212,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1044,36.0810601,140.0804842,126.688512,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1045,36.0810377,140.0805214,135.820945,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1046,36.0810125,140.0805517,132.039643,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1047,36.0809894,140.0805834,134.121830,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1048,36.0809633,140.0806167,137.259328,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1049,36.0809375,140.0806462,145.138219,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1050,36.0809078,140.0806718,154.507903,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1051,36.0808739,140.0806918,165.481937,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1052,36.0808352,140.0807042,165.001580,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1053,36.0807987,140.0807163,186.709087,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1054,36.0807616,140.0807109,239.262511,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1055,36.0807418,140.0806697,260.042197,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1056,36.0807355,140.0806253,245.696913,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1057,36.0807205,140.0805842,247.290186,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1058,36.0807067,140.0805434,249.146229,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1059,36.0806934,140.0805002,252.849475,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1060,36.0806828,140.0804577,252.198286,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1061,36.0806712,140.080413,254.608567,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1062,36.0806617,140.0803703,244.096305,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1063,36.080646,140.0803303,222.942536,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1064,36.0806427,140.0803265,167.347055,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1065,36.0806409,140.080327,71.352769,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1066,36.0806526,140.0803699,62.737981,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1067,36.0806693,140.08041,73.686725,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1068,36.0806794,140.0804527,69.925384,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1069,36.0806921,140.0804957,69.620642,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1070,36.0807051,140.080539,72.047788,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1071,36.0807167,140.0805833,79.028260,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1072,36.0807235,140.0806267,71.300874,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1073,36.0807357,140.0806713,60.545143,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1074,36.0807535,140.0807103,29.648116,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1075,36.0807792,140.0807284,350.818271,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1076,36.0808162,140.080721,348.515920,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1077,36.0808524,140.0807119,340.534846,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1078,36.0808867,140.0806969,326.969073,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1079,36.0809179,140.0806718,319.677731,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1080,36.0809478,140.0806404,311.275725,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1081,36.0809727,140.0806053,315.271223,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1082,36.0809984,140.0805738,315.822061,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1083,36.0810241,140.0805429,310.725854,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1084,36.0810472,140.0805097,311.505186,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1085,36.0810708,140.0804767,317.315252,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1086,36.0810963,140.0804476,312.946684,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1087,36.0811215,140.0804141,323.033479,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1088,36.0811506,140.080387,325.929814,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1089,36.0811794,140.0803629,340.775296,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1090,36.0812137,140.0803481,349.592043,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1091,36.0812401,140.0803421,14.665266,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1092,36.0812506,140.0803455,349.879612,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1093,36.0812669,140.0803419,7.671401,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1094,36.0812687,140.0803422,1.064370,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1095,36.0812774,140.0803424,8.473246,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1096,36.0812991,140.0803464,0.989334,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1097,36.0813225,140.0803469,8.935674,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1098,36.0813482,140.0803519,2.333435,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1099,36.0813601,140.0803525,11.919699,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1100,36.0813735,140.080356,3.774561,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1101,36.0813833,140.0803568,12.858310,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1102,36.0813964,140.0803605,0.504677,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1103,36.0814331,140.0803609,0.378512,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1104,36.0814698,140.0803612,357.583887,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1105,36.0814947,140.0803599,7.087521,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1106,36.0814986,140.0803605,3.136207,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1107,36.0815045,140.0803609,12.604397,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1108,36.0815298,140.0803679,0.944920,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1109,36.0815396,140.0803681,9.246562,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1110,36.0815535,140.0803709,356.995920,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1111,36.0815689,140.0803699,9.865748,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1112,36.0815847,140.0803733,349.551949,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1113,36.0816202,140.0803652,352.455007,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1114,36.0816562,140.0803593,332.046397,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1115,36.0816894,140.0803375,349.473708,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1116,36.0817255,140.0803292,354.522911,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1117,36.0817373,140.0803278,5.539296,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1118,36.0817473,140.080329,355.220927,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1119,36.081785,140.0803251,4.862517,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1120,36.0817869,140.0803253,7.121381,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1121,36.0818076,140.0803285,3.899220,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1122,36.0818159,140.0803292,20.617307,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1123,36.0818507,140.0803454,26.020507,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1124,36.0818853,140.0803663,48.672319,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1125,36.0819079,140.0803981,57.389404,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1126,36.0819276,140.0804362,76.958147,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1127,36.0819355,140.0804784,88.084614,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1128,36.0819367,140.0805228,92.760001,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1129,36.0819349,140.080569,93.263514,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1130,36.0819329,140.0806124,97.693071,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1131,36.0819279,140.0806582,90.328202,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1132,36.0819277,140.0807014,98.584687,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1133,36.0819221,140.0807473,98.599788,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1134,36.0819166,140.0807923,101.281272,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1135,36.0819097,140.0808351,94.522682,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1136,36.0819069,140.0808789,85.386385,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1137,36.0819099,140.0809249,65.300965,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1138,36.0819254,140.0809666,56.179920,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1139,36.081945,140.0810028,52.752600,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1140,36.0819662,140.0810373,31.969734,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1141,36.0819965,140.0810607,30.408196,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1142,36.0820133,140.0810729,1.714488,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1143,36.0820214,140.0810732,5.768555,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1144,36.0820262,140.0810738,5.768555,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1145,36.0820262,140.0810738,2.570773,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1146,36.0820316,140.0810741,357.108396,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1147,36.0820332,140.081074,5.386325,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1148,36.0820392,140.0810747,7.671327,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1149,36.082041,140.081075,3.852931,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1150,36.0820422,140.0810751,214.237952,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,36.0820384,140.0810719,355.798004,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1152,36.0820395,140.0810718,9.089936,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1153,36.0820592,140.0810757,352.712813,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1154,36.082075,140.0810732,38.294453,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1155,36.0820924,140.0810902,0.000000,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1156,36.0821168,140.0810902,13.276833,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1157,36.0821305,140.0810942,91.740186,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1158,36.0821294,140.081139,104.818525,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1159,36.0821198,140.0811839,98.581025,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1160,36.0821143,140.081229,93.673479,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1161,36.0821121,140.0812714,98.076272,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1162,36.0821071,140.081315,96.520910,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1163,36.0821031,140.0813583,92.507954,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1164,36.0821015,140.0814035,92.356596,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1165,36.0821,140.0814486,98.282439,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1166,36.0820946,140.0814945,93.241164,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1167,36.0820926,140.0815382,95.474027,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1168,36.0820892,140.0815821,91.763793,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1169,36.0820881,140.0816263,86.808437,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
