label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,,,,,,,,,,,,,,,,
1064,36.0821447,140.0827466,161.362063,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1065,36.0820062,140.0828044,290.149192,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1066,36.0820199,140.0827582,294.001551,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1067,36.0820389,140.0827054,287.085810,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1068,36.0820506,140.0826583,287.153805,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1069,36.0820621,140.0826122,280.741897,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1070,36.0820688,140.0825685,286.789988,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1071,36.0820797,140.0825238,275.725069,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1072,36.0820835,140.0824769,277.485835,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1073,36.0820883,140.0824317,272.535997,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1074,36.0820899,140.082387,276.058647,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1075,36.0820937,140.0823427,274.153969,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1076,36.0820964,140.0822967,278.893580,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1077,36.0821018,140.082254,268.062837,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1078,36.0821006,140.0822101,276.823387,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1079,36.082105,140.0821646,275.887155,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1080,36.082109,140.0821166,272.275273,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1081,36.0821104,140.082073,279.174823,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1082,36.0821163,140.0820278,275.437124,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1083,36.0821197,140.0819836,279.868409,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1084,36.0821259,140.0819395,277.828201,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1085,36.0821308,140.0818954,278.566351,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1086,36.0821364,140.0818494,257.588524,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1087,36.0821266,140.0817943,268.628107,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1088,36.0821257,140.0817478,251.295541,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1089,36.0821118,140.081697,254.804225,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1090,36.082101,140.0816478,265.853802,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1091,36.0820981,140.0815983,262.006346,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1092,36.0820928,140.0815516,261.684297,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1093,36.082087,140.0815025,279.086409,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1094,36.0820927,140.0814584,266.018572,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1095,36.08209,140.0814104,263.279073,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1096,36.0820854,140.0813621,271.230113,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1097,36.0820862,140.081316,273.717955,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1098,36.0820886,140.0812703,273.948657,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1099,36.0820913,140.0812219,272.827573,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1100,36.0820932,140.0811743,277.372939,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1101,36.082098,140.0811284,268.421452,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1102,36.082097,140.0810835,208.315019,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1103,36.0820889,140.0810781,178.253184,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1104,36.0820783,140.0810785,199.406396,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,36.0820705,140.0810751,190.283143,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1106,36.0820607,140.0810729,177.498618,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1107,36.0820533,140.0810733,186.955068,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1108,36.0820427,140.0810717,178.487116,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1109,36.0820274,140.0810722,191.422482,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1110,36.0820014,140.0810657,163.475860,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1111,36.0819935,140.0810686,214.082741,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1112,36.0819892,140.081065,262.099594,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1113,36.0819856,140.0810329,307.716477,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1114,36.0819876,140.0810297,279.235057,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1115,36.0819935,140.0809848,276.621872,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1116,36.0819976,140.0809411,267.061523,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1117,36.0819957,140.0808953,272.547377,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1118,36.0819973,140.0808508,265.480856,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1119,36.0819944,140.0808054,271.629350,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1120,36.0819954,140.0807619,276.389258,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1121,36.0819994,140.0807177,278.035632,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1122,36.0820045,140.080673,263.181826,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1123,36.0820002,140.0806285,275.177291,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1124,36.0820034,140.0805848,275.899995,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1125,36.0820072,140.0805393,269.536656,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1126,36.0820069,140.0804934,275.139366,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1127,36.0820102,140.080448,272.507978,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1128,36.0820118,140.0804028,281.094863,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1129,36.0820189,140.080358,275.169323,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1130,36.082022,140.0803156,269.688389,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1131,36.0820218,140.0802701,269.672555,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1132,36.0820216,140.0802268,276.309706,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1133,36.0820258,140.0801798,277.741502,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1134,36.0820307,140.0801352,275.647155,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1135,36.0820344,140.0800889,266.620648,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1136,36.0820322,140.0800428,280.576390,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1137,36.0820389,140.0799984,280.092708,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1138,36.0820451,140.0799553,263.301129,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1139,36.0820408,140.07991,278.301721,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1140,36.0820458,140.0798676,252.811130,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1141,36.082034,140.0798204,234.812895,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1142,36.0820136,140.0797846,243.843641,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1143,36.0819982,140.0797458,247.239738,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1144,36.0819844,140.0797051,277.420883,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1145,36.0819848,140.0797013,264.763145,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,36.0819814,140.0796554,275.909366,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1147,36.0819836,140.0796291,285.418655,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,36.0819873,140.0796125,272.234316,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1149,36.0819887,140.0795681,279.733933,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1150,36.0819948,140.0795241,282.692752,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
