label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C5,35.6495967,139.5028518,270.000000,1.5,1.5,0,0,1
C5-C7_1,35.6495967,139.502851,267.762743,1.5,1.5,0,0,1
C5-C7_2,35.6495965,139.5028447,279.441904,1.5,1.5,0,0,1
C5-C7_3,35.649597,139.502841,271.137104,1.5,1.5,0,0,1
C5-C7_4,35.6495972,139.5028286,284.807755,1.5,1.5,0,0,1
C5-C7_5,35.649603,139.5028016,276.874851,1.5,1.5,0,0,1
C5-C7_6,35.6496059,139.502772,281.285723,1.5,1.5,0,0,1
C5-C7_7,35.6496089,139.5027535,279.526174,1.5,1.5,0,0,1
C5-C7_8,35.6496092,139.5027513,280.258021,1.5,1.5,0,0,1
C5-C7_9,35.6496102,139.5027445,277.618853,1.5,1.5,0,0,1
C5-C7_10,35.6496107,139.5027399,277.618853,1.5,1.5,0,0,1
C5-C7_11,35.6496107,139.5027399,284.977417,1.5,1.5,0,0,1
C5-C7_12,35.6496112,139.5027376,279.970900,1.5,1.5,0,0,1
C5-C7_13,35.6496118,139.5027334,277.458595,1.5,1.5,0,0,1
C5-C7_14,35.6496123,139.5027287,282.993129,1.5,1.5,0,0,1
C5-C7_15,35.6496132,139.5027239,279.076001,1.5,1.5,0,0,1
C5-C7_16,35.6496159,139.5027031,285.100915,1.5,1.5,0,0,1
C5-C7_17,35.6496225,139.502673,278.266211,1.5,1.5,0,0,1
C7,35.6496242,139.5026586,278.266211,1.5,1.5,0,0,1
