label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C2,28234.695516,44336.537741,-220.890084,0.000000000,0.000000000,-0.058829650,0.998268036,0,0,0,0,0
C2-C5_1,28239.947335,44335.936306,-220.909114,0.000000000,0.000000000,-0.058829642,0.998268037,0,0,0,0,0
C2-C5_2,28245.199154,44335.334874,-220.928149,0.000000000,0.000000000,-0.058829642,0.998268037,0,0,0,0,0
C2-C5_3,28250.450973,44334.733444,-220.947187,0.000000000,0.000000000,-0.058829633,0.998268037,0,0,0,0,0
C2-C5_4,28255.702794,44334.132018,-220.966231,0.000000000,0.000000000,-0.058829633,0.998268037,0,0,0,0,0
C2-C5_5,28260.954615,44333.530595,-220.985278,0.000000000,0.000000000,-0.058829624,0.998268038,0,0,0,0,0
C2-C5_6,28266.206437,44332.929175,-221.004331,0.000000000,0.000000000,-0.058829624,0.998268038,0,0,0,0,0
C5,28271.458259,44332.327758,-221.023387,0.000000000,0.000000000,-0.058829624,0.998268038,0,0,0,0,0
