label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C20,28424.315858,44413.706172,-222.270024,0.000000000,0.000000000,-0.921940933,0.387330501,0,0,0,0,0
C20-C21_1,28420.305999,44409.606323,-222.223534,0.000000000,0.000000000,-0.921940977,0.387330396,0,0,0,0,0
C20-C21_2,28416.296135,44405.506476,-222.177048,0.000000000,0.000000000,-0.921941024,0.387330283,0,0,0,0,0
C20-C21_3,28412.286268,44401.406632,-222.130568,0.000000000,0.000000000,-0.921941068,0.387330179,0,0,0,0,0
C20-C21_4,28408.276397,44397.306789,-222.084093,0.000000000,0.000000000,-0.921941115,0.387330066,0,0,0,0,0
C20-C21_5,28404.266523,44393.206947,-222.037623,0.000000000,0.000000000,-0.921941159,0.387329962,0,0,0,0,0
C21,28400.256644,44389.107108,-221.991159,0.000000000,0.000000000,-0.921941159,0.387329962,0,0,0,0,0
