label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C1,28239.656023,44446.291406,-221.678418,0.000000000,0.000000000,0.585837909,0.810428248,0,0,0,0,0
C1-C100_1,28241.251609,44451.154010,-221.719474,0.000000000,0.000000000,0.585837972,0.810428202,0,0,0,0,0
C1-C100_2,28242.847193,44456.016614,-221.760534,0.000000000,0.000000000,0.585838043,0.810428151,0,0,0,0,0
C1-C100_3,28244.442776,44460.879219,-221.801598,0.000000000,0.000000000,0.585838107,0.810428105,0,0,0,0,0
C1-C100_4,28246.038357,44465.741824,-221.842666,0.000000000,0.000000000,0.585838177,0.810428053,0,0,0,0,0
C1-C100_5,28247.633936,44470.604429,-221.883738,0.000000000,0.000000000,0.585838241,0.810428007,0,0,0,0,0
C1-C100_6,28249.229513,44475.467035,-221.924814,0.000000000,0.000000000,0.585838312,0.810427956,0,0,0,0,0
C1-C100_7,28250.825089,44480.329641,-221.965894,0.000000000,0.000000000,0.585838375,0.810427910,0,0,0,0,0
C1-C100_8,28252.420662,44485.192247,-222.006979,0.000000000,0.000000000,0.585838446,0.810427859,0,0,0,0,0
C100,28254.016234,44490.054854,-222.048067,0.000000000,0.000000000,0.585838446,0.810427859,0,0,0,0,0
