label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C8,28303.989129,44411.323171,-221.718875,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_1,28309.091462,44410.996533,-221.739212,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_2,28314.193794,44410.669898,-221.759554,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_3,28319.296127,44410.343266,-221.779899,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_4,28324.398461,44410.016636,-221.800248,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_5,28329.500795,44409.690010,-221.820602,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_6,28334.603129,44409.363386,-221.840959,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
C8-C13_7,28339.705463,44409.036766,-221.861321,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
C8-C13_8,28344.807798,44408.710148,-221.881687,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
C8-C13_9,28349.910134,44408.383534,-221.902057,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
C8-C13_10,28355.012469,44408.056922,-221.922431,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
C13,28360.114805,44407.730313,-221.942809,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
