label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C9,28339.035958,44352.738375,-221.465317,0.000000000,0.000000000,-0.984926857,0.172971345,0,0,0,0,0
C9-C101_1,28333.967914,44350.891330,-221.429940,0.000000000,0.000000000,-0.984926863,0.172971311,0,0,0,0,0
C9-C101_2,28328.899867,44349.044288,-221.394568,0.000000000,0.000000000,-0.984926869,0.172971276,0,0,0,0,0
C9-C101_3,28323.831818,44347.197250,-221.359200,0.000000000,0.000000000,-0.984926874,0.172971251,0,0,0,0,0
C9-C101_4,28318.763767,44345.350214,-221.323837,0.000000000,0.000000000,-0.984926880,0.172971216,0,0,0,0,0
C9-C101_5,28313.695714,44343.503181,-221.288478,0.000000000,0.000000000,-0.984926886,0.172971182,0,0,0,0,0
C101,28308.627659,44341.656150,-221.253124,0.000000000,0.000000000,-0.984926886,0.172971182,0,0,0,0,0
