label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C14,28378.023369,44384.708392,-221.861597,0.000000000,0.000000000,0.096320197,0.995350400,0,0,0,0,0
C14-C21_1,28383.581690,44385.808066,-221.893980,0.000000000,0.000000000,0.096320214,0.995350399,0,0,0,0,0
C14-C21_2,28389.140009,44386.907743,-221.926368,0.000000000,0.000000000,0.096320223,0.995350398,0,0,0,0,0
C14-C21_3,28394.698327,44388.007424,-221.958761,0.000000000,0.000000000,0.096320231,0.995350397,0,0,0,0,0
C21,28400.256644,44389.107108,-221.991159,0.000000000,0.000000000,0.096320231,0.995350397,0,0,0,0,0
