label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C3,28231.542369,44252.865069,-220.293138,0.000000000,0.000000000,0.214149131,0.976800977,0,0,0,0,0
C3-C6_1,28236.470988,44255.144347,-220.330797,0.000000000,0.000000000,0.214149182,0.976800966,0,0,0,0,0
C3-C6_2,28241.399605,44257.423628,-220.368461,0.000000000,0.000000000,0.214149225,0.976800957,0,0,0,0,0
C3-C6_3,28246.328219,44259.702912,-220.406130,0.000000000,0.000000000,0.214149276,0.976800946,0,0,0,0,0
C3-C6_4,28251.256831,44261.982198,-220.443804,0.000000000,0.000000000,0.214149327,0.976800934,0,0,0,0,0
C3-C6_5,28256.185440,44264.261488,-220.481482,0.000000000,0.000000000,0.214149370,0.976800925,0,0,0,0,0
C3-C6_6,28261.114046,44266.540780,-220.519164,0.000000000,0.000000000,0.214149421,0.976800914,0,0,0,0,0
C3-C6_7,28266.042650,44268.820075,-220.556852,0.000000000,0.000000000,0.214149464,0.976800905,0,0,0,0,0
C3-C6_8,28270.971252,44271.099372,-220.594544,0.000000000,0.000000000,0.214149515,0.976800893,0,0,0,0,0
C3-C6_9,28275.899850,44273.378673,-220.632240,0.000000000,0.000000000,0.214149566,0.976800882,0,0,0,0,0
C6,28280.828447,44275.657976,-220.669941,0.000000000,0.000000000,0.214149566,0.976800882,0,0,0,0,0
