label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C1,28239.656023,44446.291406,-221.678418,0.000000000,0.000000000,-0.723932672,0.689870630,0,0,0,0,0
C1-C2_1,28239.430548,44441.302603,-221.642544,0.000000000,0.000000000,-0.723932678,0.689870624,0,0,0,0,0
C1-C2_2,28239.205074,44436.313800,-221.606673,0.000000000,0.000000000,-0.723932690,0.689870611,0,0,0,0,0
C1-C2_3,28238.979598,44431.324996,-221.570806,0.000000000,0.000000000,-0.723932702,0.689870599,0,0,0,0,0
C1-C2_4,28238.754123,44426.336193,-221.534943,0.000000000,0.000000000,-0.723932708,0.689870592,0,0,0,0,0
C1-C2_5,28238.528647,44421.347390,-221.499085,0.000000000,0.000000000,-0.723932720,0.689870580,0,0,0,0,0
C1-C2_6,28238.303171,44416.358587,-221.463230,0.000000000,0.000000000,-0.723932726,0.689870573,0,0,0,0,0
C1-C2_7,28238.077695,44411.369784,-221.427379,0.000000000,0.000000000,-0.723932738,0.689870561,0,0,0,0,0
C1-C2_8,28237.852219,44406.380981,-221.391532,0.000000000,0.000000000,-0.723932750,0.689870548,0,0,0,0,0
C1-C2_9,28237.626742,44401.392179,-221.355688,0.000000000,0.000000000,-0.723932756,0.689870542,0,0,0,0,0
C1-C2_10,28237.401265,44396.403376,-221.319849,0.000000000,0.000000000,-0.723932768,0.689870529,0,0,0,0,0
C1-C2_11,28237.175787,44391.414573,-221.284014,0.000000000,0.000000000,-0.723932774,0.689870523,0,0,0,0,0
C1-C2_12,28236.950310,44386.425770,-221.248182,0.000000000,0.000000000,-0.723932786,0.689870510,0,0,0,0,0
C1-C2_13,28236.724832,44381.436967,-221.212355,0.000000000,0.000000000,-0.723932792,0.689870504,0,0,0,0,0
C1-C2_14,28236.499353,44376.448164,-221.176531,0.000000000,0.000000000,-0.723932804,0.689870491,0,0,0,0,0
C1-C2_15,28236.273875,44371.459361,-221.140712,0.000000000,0.000000000,-0.723932816,0.689870479,0,0,0,0,0
C1-C2_16,28236.048396,44366.470558,-221.104896,0.000000000,0.000000000,-0.723932823,0.689870472,0,0,0,0,0
C1-C2_17,28235.822917,44361.481755,-221.069084,0.000000000,0.000000000,-0.723932835,0.689870460,0,0,0,0,0
C1-C2_18,28235.597437,44356.492953,-221.033276,0.000000000,0.000000000,-0.723932841,0.689870453,0,0,0,0,0
C1-C2_19,28235.371957,44351.504150,-220.997472,0.000000000,0.000000000,-0.723932853,0.689870441,0,0,0,0,0
C1-C2_20,28235.146477,44346.515347,-220.961672,0.000000000,0.000000000,-0.723932859,0.689870434,0,0,0,0,0
C1-C2_21,28234.920997,44341.526544,-220.925876,0.000000000,0.000000000,-0.723932871,0.689870422,0,0,0,0,0
C2,28234.695516,44336.537741,-220.890084,0.000000000,0.000000000,-0.723932871,0.689870422,0,0,0,0,0
