label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C4,28260.924930,44442.475774,-221.745841,0.000000000,0.000000000,0.207058008,0.978328667,0,0,0,0,0
C4-C102_1,28265.508187,44444.515405,-221.780387,0.000000000,0.000000000,0.207058051,0.978328658,0,0,0,0,0
C4-C102_2,28270.091442,44446.555039,-221.814937,0.000000000,0.000000000,0.207058094,0.978328649,0,0,0,0,0
C4-C102_3,28274.674695,44448.594675,-221.849491,0.000000000,0.000000000,0.207058136,0.978328640,0,0,0,0,0
C4-C102_4,28279.257946,44450.634314,-221.884049,0.000000000,0.000000000,0.207058179,0.978328631,0,0,0,0,0
C4-C102_5,28283.841195,44452.673955,-221.918610,0.000000000,0.000000000,0.207058222,0.978328622,0,0,0,0,0
C4-C102_6,28288.424441,44454.713598,-221.953176,0.000000000,0.000000000,0.207058265,0.978328613,0,0,0,0,0
C4-C102_7,28293.007686,44456.753244,-221.987746,0.000000000,0.000000000,0.207058307,0.978328604,0,0,0,0,0
C4-C102_8,28297.590928,44458.792892,-222.022319,0.000000000,0.000000000,0.207058350,0.978328595,0,0,0,0,0
C4-C102_9,28302.174168,44460.832542,-222.056897,0.000000000,0.000000000,0.207058393,0.978328586,0,0,0,0,0
C4-C102_10,28306.757406,44462.872195,-222.091479,0.000000000,0.000000000,0.207058427,0.978328579,0,0,0,0,0
C4-C102_11,28311.340642,44464.911850,-222.126064,0.000000000,0.000000000,0.207058469,0.978328570,0,0,0,0,0
C4-C102_12,28315.923875,44466.951508,-222.160653,0.000000000,0.000000000,0.207058512,0.978328561,0,0,0,0,0
C4-C102_13,28320.507107,44468.991168,-222.195247,0.000000000,0.000000000,0.207058555,0.978328552,0,0,0,0,0
C4-C102_14,28325.090336,44471.030830,-222.229844,0.000000000,0.000000000,0.207058598,0.978328543,0,0,0,0,0
C4-C102_15,28329.673563,44473.070494,-222.264445,0.000000000,0.000000000,0.207058640,0.978328534,0,0,0,0,0
C4-C102_16,28334.256788,44475.110162,-222.299051,0.000000000,0.000000000,0.207058683,0.978328524,0,0,0,0,0
C4-C102_17,28338.840011,44477.149831,-222.333660,0.000000000,0.000000000,0.207058726,0.978328515,0,0,0,0,0
C4-C102_18,28343.423232,44479.189503,-222.368273,0.000000000,0.000000000,0.207058768,0.978328506,0,0,0,0,0
C4-C102_19,28348.006450,44481.229177,-222.402890,0.000000000,0.000000000,0.207058811,0.978328497,0,0,0,0,0
C4-C102_20,28352.589667,44483.268853,-222.437511,0.000000000,0.000000000,0.207058854,0.978328488,0,0,0,0,0
C4-C102_21,28357.172881,44485.308532,-222.472136,0.000000000,0.000000000,0.207058896,0.978328479,0,0,0,0,0
C4-C102_22,28361.756093,44487.348214,-222.506765,0.000000000,0.000000000,0.207058939,0.978328470,0,0,0,0,0
C4-C102_23,28366.339303,44489.387897,-222.541398,0.000000000,0.000000000,0.207058973,0.978328463,0,0,0,0,0
C102,28370.922511,44491.427583,-222.576035,0.000000000,0.000000000,0.207058973,0.978328463,0,0,0,0,0
