label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C100,28254.016234,44490.054854,-222.048067,0.000000000,0.000000000,-0.655781968,0.754950337,0,0,0,0,0
C100-C4_1,28254.783863,44484.768289,-222.014469,0.000000000,0.000000000,-0.655781935,0.754950365,0,0,0,0,0
C100-C4_2,28255.551494,44479.481724,-221.980874,0.000000000,0.000000000,-0.655781908,0.754950388,0,0,0,0,0
C100-C4_3,28256.319125,44474.195160,-221.947285,0.000000000,0.000000000,-0.655781875,0.754950417,0,0,0,0,0
C100-C4_4,28257.086757,44468.908595,-221.913700,0.000000000,0.000000000,-0.655781842,0.754950446,0,0,0,0,0
C100-C4_5,28257.854390,44463.622031,-221.880119,0.000000000,0.000000000,-0.655781809,0.754950474,0,0,0,0,0
C100-C4_6,28258.622023,44458.335466,-221.846543,0.000000000,0.000000000,-0.655781776,0.754950503,0,0,0,0,0
C100-C4_7,28259.389658,44453.048902,-221.812971,0.000000000,0.000000000,-0.655781750,0.754950526,0,0,0,0,0
C100-C4_8,28260.157294,44447.762338,-221.779404,0.000000000,0.000000000,-0.655781717,0.754950554,0,0,0,0,0
C4,28260.924930,44442.475774,-221.745841,0.000000000,0.000000000,-0.655781717,0.754950554,0,0,0,0,0
