label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C101,28308.627659,44341.656150,-221.253124,0.000000000,0.000000000,-0.992584155,0.121559434,0,0,0,0,0
C101-C5_1,28303.317750,44340.323513,-221.220291,0.000000000,0.000000000,-0.992584157,0.121559417,0,0,0,0,0
C101-C5_2,28298.007839,44338.990880,-221.187462,0.000000000,0.000000000,-0.992584159,0.121559399,0,0,0,0,0
C101-C5_3,28292.697926,44337.658249,-221.154637,0.000000000,0.000000000,-0.992584161,0.121559382,0,0,0,0,0
C101-C5_4,28287.388012,44336.325621,-221.121818,0.000000000,0.000000000,-0.992584163,0.121559365,0,0,0,0,0
C101-C5_5,28282.078096,44334.992997,-221.089003,0.000000000,0.000000000,-0.992584165,0.121559347,0,0,0,0,0
C101-C5_6,28276.768179,44333.660376,-221.056193,0.000000000,0.000000000,-0.992584167,0.121559330,0,0,0,0,0
C5,28271.458259,44332.327758,-221.023387,0.000000000,0.000000000,-0.992584167,0.121559330,0,0,0,0,0
