label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C11,28367.191075,44447.698016,-222.253560,0.000000000,0.000000000,-0.983593463,-0.180399278,0,0,0,0,0
C11-C100_1,28362.475435,44449.462855,-222.244952,0.000000000,0.000000000,-0.983593457,-0.180399313,0,0,0,0,0
C11-C100_2,28357.759797,44451.227697,-222.236348,0.000000000,0.000000000,-0.983593452,-0.180399338,0,0,0,0,0
C11-C100_3,28353.044161,44452.992541,-222.227748,0.000000000,0.000000000,-0.983593446,-0.180399373,0,0,0,0,0
C11-C100_4,28348.328526,44454.757388,-222.219151,0.000000000,0.000000000,-0.983593439,-0.180399407,0,0,0,0,0
C11-C100_5,28343.612894,44456.522237,-222.210559,0.000000000,0.000000000,-0.983593433,-0.180399441,0,0,0,0,0
C11-C100_6,28338.897263,44458.287089,-222.201971,0.000000000,0.000000000,-0.983593427,-0.180399476,0,0,0,0,0
C11-C100_7,28334.181634,44460.051944,-222.193387,0.000000000,0.000000000,-0.983593420,-0.180399510,0,0,0,0,0
C11-C100_8,28329.466007,44461.816801,-222.184807,0.000000000,0.000000000,-0.983593414,-0.180399544,0,0,0,0,0
C11-C100_9,28324.750382,44463.581660,-222.176230,0.000000000,0.000000000,-0.983593408,-0.180399579,0,0,0,0,0
C11-C100_10,28320.034759,44465.346522,-222.167658,0.000000000,0.000000000,-0.983593402,-0.180399613,0,0,0,0,0
C11-C100_11,28315.319138,44467.111387,-222.159090,0.000000000,0.000000000,-0.983593397,-0.180399639,0,0,0,0,0
C11-C100_12,28310.603519,44468.876254,-222.150526,0.000000000,0.000000000,-0.983593391,-0.180399673,0,0,0,0,0
C11-C100_13,28305.887901,44470.641123,-222.141966,0.000000000,0.000000000,-0.983593384,-0.180399708,0,0,0,0,0
C11-C100_14,28301.172286,44472.405995,-222.133409,0.000000000,0.000000000,-0.983593378,-0.180399742,0,0,0,0,0
C11-C100_15,28296.456672,44474.170870,-222.124857,0.000000000,0.000000000,-0.983593372,-0.180399776,0,0,0,0,0
C11-C100_16,28291.741060,44475.935747,-222.116309,0.000000000,0.000000000,-0.983593365,-0.180399811,0,0,0,0,0
C11-C100_17,28287.025450,44477.700626,-222.107765,0.000000000,0.000000000,-0.983593359,-0.180399845,0,0,0,0,0
C11-C100_18,28282.309842,44479.465508,-222.099225,0.000000000,0.000000000,-0.983593353,-0.180399879,0,0,0,0,0
C11-C100_19,28277.594236,44481.230393,-222.090688,0.000000000,0.000000000,-0.983593348,-0.180399905,0,0,0,0,0
C11-C100_20,28272.878632,44482.995280,-222.082156,0.000000000,0.000000000,-0.983593342,-0.180399939,0,0,0,0,0
C11-C100_21,28268.163030,44484.760170,-222.073628,0.000000000,0.000000000,-0.983593335,-0.180399974,0,0,0,0,0
C11-C100_22,28263.447429,44486.525062,-222.065104,0.000000000,0.000000000,-0.983593329,-0.180400008,0,0,0,0,0
C11-C100_23,28258.731831,44488.289956,-222.056584,0.000000000,0.000000000,-0.983593323,-0.180400042,0,0,0,0,0
C100,28254.016234,44490.054854,-222.048067,0.000000000,0.000000000,-0.983593323,-0.180400042,0,0,0,0,0
