label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C100,28254.016234,44490.054854,-222.048067,0.000000000,0.000000000,-0.180399776,0.983593372,0,0,0,0,0
C100-C11_1,28258.731831,44488.289956,-222.056584,0.000000000,0.000000000,-0.180399742,0.983593378,0,0,0,0,0
C100-C11_2,28263.447429,44486.525062,-222.065104,0.000000000,0.000000000,-0.180399708,0.983593384,0,0,0,0,0
C100-C11_3,28268.163030,44484.760170,-222.073628,0.000000000,0.000000000,-0.180399682,0.983593389,0,0,0,0,0
C100-C11_4,28272.878632,44482.995280,-222.082156,0.000000000,0.000000000,-0.180399647,0.983593395,0,0,0,0,0
C100-C11_5,28277.594236,44481.230393,-222.090688,0.000000000,0.000000000,-0.180399613,0.983593402,0,0,0,0,0
C100-C11_6,28282.309842,44479.465508,-222.099225,0.000000000,0.000000000,-0.180399579,0.983593408,0,0,0,0,0
C100-C11_7,28287.025450,44477.700626,-222.107765,0.000000000,0.000000000,-0.180399544,0.983593414,0,0,0,0,0
C100-C11_8,28291.741060,44475.935747,-222.116309,0.000000000,0.000000000,-0.180399510,0.983593420,0,0,0,0,0
C100-C11_9,28296.456672,44474.170870,-222.124857,0.000000000,0.000000000,-0.180399476,0.983593427,0,0,0,0,0
C100-C11_10,28301.172286,44472.405995,-222.133409,0.000000000,0.000000000,-0.180399441,0.983593433,0,0,0,0,0
C100-C11_11,28305.887901,44470.641123,-222.141966,0.000000000,0.000000000,-0.180399407,0.983593439,0,0,0,0,0
C100-C11_12,28310.603519,44468.876254,-222.150526,0.000000000,0.000000000,-0.180399381,0.983593444,0,0,0,0,0
C100-C11_13,28315.319138,44467.111387,-222.159090,0.000000000,0.000000000,-0.180399347,0.983593450,0,0,0,0,0
C100-C11_14,28320.034759,44465.346522,-222.167658,0.000000000,0.000000000,-0.180399313,0.983593457,0,0,0,0,0
C100-C11_15,28324.750382,44463.581660,-222.176230,0.000000000,0.000000000,-0.180399278,0.983593463,0,0,0,0,0
C100-C11_16,28329.466007,44461.816801,-222.184807,0.000000000,0.000000000,-0.180399244,0.983593469,0,0,0,0,0
C100-C11_17,28334.181634,44460.051944,-222.193387,0.000000000,0.000000000,-0.180399210,0.983593476,0,0,0,0,0
C100-C11_18,28338.897263,44458.287089,-222.201971,0.000000000,0.000000000,-0.180399175,0.983593482,0,0,0,0,0
C100-C11_19,28343.612894,44456.522237,-222.210559,0.000000000,0.000000000,-0.180399141,0.983593488,0,0,0,0,0
C100-C11_20,28348.328526,44454.757388,-222.219151,0.000000000,0.000000000,-0.180399115,0.983593493,0,0,0,0,0
C100-C11_21,28353.044161,44452.992541,-222.227748,0.000000000,0.000000000,-0.180399081,0.983593499,0,0,0,0,0
C100-C11_22,28357.759797,44451.227697,-222.236348,0.000000000,0.000000000,-0.180399047,0.983593505,0,0,0,0,0
C100-C11_23,28362.475435,44449.462855,-222.244952,0.000000000,0.000000000,-0.180399012,0.983593512,0,0,0,0,0
C11,28367.191075,44447.698016,-222.253560,0.000000000,0.000000000,-0.180399012,0.983593512,0,0,0,0,0
