label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C7,28305.847723,44449.387841,-221.993149,0.000000000,0.000000000,-0.944306346,-0.329067660,0,0,0,0,0
C7-C100_1,28301.860668,44452.516062,-221.997349,0.000000000,0.000000000,-0.944306317,-0.329067742,0,0,0,0,0
C7-C100_2,28297.873616,44455.644285,-222.001553,0.000000000,0.000000000,-0.944306289,-0.329067824,0,0,0,0,0
C7-C100_3,28293.886567,44458.772509,-222.005762,0.000000000,0.000000000,-0.944306260,-0.329067907,0,0,0,0,0
C7-C100_4,28289.899521,44461.900736,-222.009974,0.000000000,0.000000000,-0.944306231,-0.329067989,0,0,0,0,0
C7-C100_5,28285.912478,44465.028964,-222.014190,0.000000000,0.000000000,-0.944306203,-0.329068072,0,0,0,0,0
C7-C100_6,28281.925438,44468.157194,-222.018411,0.000000000,0.000000000,-0.944306174,-0.329068154,0,0,0,0,0
C7-C100_7,28277.938400,44471.285425,-222.022635,0.000000000,0.000000000,-0.944306142,-0.329068245,0,0,0,0,0
C7-C100_8,28273.951365,44474.413659,-222.026864,0.000000000,0.000000000,-0.944306114,-0.329068327,0,0,0,0,0
C7-C100_9,28269.964333,44477.541894,-222.031096,0.000000000,0.000000000,-0.944306085,-0.329068409,0,0,0,0,0
C7-C100_10,28265.977304,44480.670131,-222.035333,0.000000000,0.000000000,-0.944306056,-0.329068492,0,0,0,0,0
C7-C100_11,28261.990278,44483.798370,-222.039574,0.000000000,0.000000000,-0.944306027,-0.329068574,0,0,0,0,0
C7-C100_12,28258.003255,44486.926611,-222.043818,0.000000000,0.000000000,-0.944305999,-0.329068657,0,0,0,0,0
C100,28254.016234,44490.054854,-222.048067,0.000000000,0.000000000,-0.944305999,-0.329068657,0,0,0,0,0
