label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C10,36.0800065,140.0809101,258.347771,2,2,0,0,1
C10-C9_1,36.0800046,140.0808987,299.390811,2,2,0,0,1
C10-C9_2,36.0800107,140.0808853,340.296419,2,2,0,0,1
C10-C9_3,36.0800441,140.0808705,338.681796,2,2,0,0,1
C10-C9_4,36.0800762,140.080855,336.115611,2,2,0,0,1
C10-C9_5,36.0801096,140.0808367,350.692886,2,2,0,0,1
C10-C9_6,36.0801456,140.0808294,343.796850,2,2,0,0,1
C10-C9_7,36.0801812,140.0808166,350.580156,2,2,0,0,1
C10-C9_8,36.0802153,140.0808096,352.370384,2,2,0,0,1
C10-C9_9,36.0802515,140.0808036,355.654792,2,2,0,0,1
C10-C9_10,36.0802866,140.0808003,6.073458,2,2,0,0,1
C10-C9_11,36.0803223,140.080805,19.104452,2,2,0,0,1
C10-C9_12,36.0803244,140.0808059,343.204888,2,2,0,0,1
C10-C9_13,36.0803568,140.0807938,342.703860,2,2,0,0,1
C10-C9_14,36.0803908,140.0807807,339.693382,2,2,0,0,1
C10-C9_15,36.0804264,140.0807644,338.054644,2,2,0,0,1
C10-C9_16,36.0804607,140.0807473,339.817911,2,2,0,0,1
C10-C9_17,36.080495,140.0807317,355.427380,2,2,0,0,1
C10-C9_18,36.0805334,140.0807279,10.402403,2,2,0,0,1
C10-C9_19,36.0805695,140.0807361,0.990400,2,2,0,0,1
C10-C9_20,36.0806069,140.0807369,357.022606,2,2,0,0,1
C10-C9_21,36.0806473,140.0807343,354.979650,2,2,0,0,1
C10-C9_22,36.0806841,140.0807303,350.268513,2,2,0,0,1
C10-C9_23,36.0807218,140.0807223,340.639233,2,2,0,0,1
C9,36.0807241,140.0807213,340.639233,2,2,0,0,1
