label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C18,36.0798105,140.0812774,156.763489,2,2,0,0,1
C18-C19_1,36.0797849,140.081291,143.382412,2,2,0,0,1
C18-C19_2,36.0797526,140.0813207,144.488602,2,2,0,0,1
C18-C19_3,36.0797227,140.0813471,145.216691,2,2,0,0,1
C18-C19_4,36.0796914,140.081374,152.573000,2,2,0,0,1
C18-C19_5,36.0796724,140.0813862,157.996392,2,2,0,0,1
C18-C19_6,36.079672,140.0813864,218.945110,2,2,0,0,1
C18-C19_7,36.0796719,140.0813863,270.000000,2,2,0,0,1
C18-C19_8,36.0796719,140.081386,304.363606,2,2,0,0,1
C18-C19_9,36.079674,140.0813822,336.482096,2,2,0,0,1
C19,36.0796766,140.0813808,336.482096,2,2,0,0,1
