label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C101,36.0806289,140.0803286,256.499949,2,2,0,0,1
C101-C5_1,36.0806263,140.0803152,257.159944,2,2,0,0,1
C101-C5_2,36.0806179,140.0802696,252.689268,2,2,0,0,1
C101-C5_3,36.0806079,140.0802299,250.340319,2,2,0,0,1
C101-C5_4,36.0805956,140.0801873,252.401790,2,2,0,0,1
C101-C5_5,36.0805855,140.0801479,253.191914,2,2,0,0,1
C101-C5_6,36.0805751,140.0801053,254.964545,2,2,0,0,1
C101-C5_7,36.0805657,140.080062,244.828898,2,2,0,0,1
C101-C5_8,36.0805499,140.0800204,254.772301,2,2,0,0,1
C101-C5_9,36.0805466,140.0800054,281.652316,2,2,0,0,1
C101-C5_10,36.0805493,140.0799892,270.000003,2,2,0,0,1
C5,36.0805493,140.0799792,270.000003,2,2,0,0,1
