label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C17,36.0798543,140.0813509,347.924484,1,1,0,0,1
C17-C16_1,36.0798577,140.08135,300.615481,1,1,0,0,1
C17-C16_2,36.0798764,140.0813109,294.365574,1,1,0,0,1
C17-C16_3,36.0798917,140.0812691,309.402202,1,1,0,0,1
C17-C16_4,36.0799158,140.0812328,316.396327,1,1,0,0,1
C17-C16_5,36.0799427,140.0812011,325.450199,1,1,0,0,1
C17-C16_6,36.0799731,140.0811752,329.935910,1,1,0,0,1
C17-C16_7,36.0800027,140.081154,332.630868,1,1,0,0,1
C17-C16_8,36.0800333,140.0811344,332.017693,1,1,0,0,1
C16,36.0800441,140.0811273,332.017693,1,1,0,0,1
