label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C13,36.0812286,140.0809226,63.247189,1,1,0,0,1
C13-C14_1,36.0812297,140.0809253,119.638671,1,1,0,0,1
C13-C14_2,36.0812131,140.0809614,152.417439,1,1,0,0,1
C13-C14_3,36.0811868,140.0809784,180.443106,1,1,0,0,1
C13-C14_4,36.081145,140.080978,161.452426,1,1,0,0,1
C13-C14_5,36.081112,140.0809917,154.573463,1,1,0,0,1
C13-C14_6,36.081078,140.0810117,131.734121,1,1,0,0,1
C13-C14_7,36.0810532,140.0810461,124.996624,1,1,0,0,1
C13-C14_8,36.081033,140.0810818,116.362665,1,1,0,0,1
C14,36.0810179,140.0811195,116.362665,1,1,0,0,1
