label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C5,36.0805493,140.0799792,72.811424,2,2,0,0,1
C5-C2_1,36.0805494,140.0799796,307.909362,2,2,0,0,1
C5-C2_2,36.0805584,140.0799653,271.058003,2,2,0,0,1
C5-C2_3,36.0805586,140.0799519,287.896400,2,2,0,0,1
C5-C2_4,36.0805687,140.0799132,274.468436,2,2,0,0,1
C5-C2_5,36.0805693,140.0799037,307.745627,2,2,0,0,1
C5-C2_6,36.080581,140.079885,280.747919,2,2,0,0,1
C5-C2_7,36.0805837,140.0798674,291.325116,2,2,0,0,1
C5-C2_8,36.0805896,140.0798487,272.235278,2,2,0,0,1
C5-C2_9,36.0805906,140.079817,279.476067,2,2,0,0,1
C5-C2_10,36.0805952,140.0797829,267.017694,2,2,0,0,1
C5-C2_11,36.080594,140.0797544,275.849797,2,2,0,0,1
C5-C2_12,36.0805953,140.0797387,263.615929,2,2,0,0,1
C5-C2_13,36.0805936,140.0797199,275.849802,2,2,0,0,1
C5-C2_14,36.0805962,140.0796885,264.082373,2,2,0,0,1
C5-C2_15,36.0805946,140.0796694,278.419030,2,2,0,0,1
C5-C2_16,36.0805971,140.0796485,260.699531,2,2,0,0,1
C5-C2_17,36.0805953,140.0796349,280.202637,2,2,0,0,1
C5-C2_18,36.0805977,140.0796184,261.657217,2,2,0,0,1
C5-C2_19,36.0805961,140.0796049,290.499298,2,2,0,0,1
C5-C2_20,36.0806003,140.079591,259.975832,2,2,0,0,1
C5-C2_21,36.0805993,140.079584,274.577500,2,2,0,0,1
C2,36.0806004,140.079567,274.577500,2,2,0,0,1
