label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C9,36.0807241,140.0807213,311.697263,2,2,0,0,1
C9-C101_1,36.0807277,140.0807163,311.697263,2,2,0,0,1
C9-C101_2,36.0807277,140.0807163,280.942209,2,2,0,0,1
C9-C101_3,36.0807287,140.0807099,276.883196,2,2,0,0,1
C9-C101_4,36.0807295,140.0807017,256.339263,2,2,0,0,1
C9-C101_5,36.0807207,140.0806569,251.196544,2,2,0,0,1
C9-C101_6,36.0807095,140.0806162,248.983463,2,2,0,0,1
C9-C101_7,36.0806959,140.0805724,254.419622,2,2,0,0,1
C9-C101_8,36.0806863,140.0805298,253.564281,2,2,0,0,1
C9-C101_9,36.0806755,140.0804845,251.251846,2,2,0,0,1
C9-C101_10,36.0806645,140.0804444,250.967053,2,2,0,0,1
C9-C101_11,36.0806524,140.080401,251.366507,2,2,0,0,1
C9-C101_12,36.0806409,140.0803588,243.818692,2,2,0,0,1
C101,36.0806289,140.0803286,243.818692,2,2,0,0,1
