label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C5,36.0805539,140.0799532,116.631264,2,2,0,0,1
C5-C6_1,36.0805462,140.0799722,155.980449,2,2,0,0,1
C5-C6_2,36.0805141,140.0799899,153.755836,2,2,0,0,1
C5-C6_3,36.0804782,140.0800118,162.354515,2,2,0,0,1
C5-C6_4,36.0804439,140.0800253,155.795475,2,2,0,0,1
C5-C6_5,36.0804092,140.0800446,175.123953,2,2,0,0,1
C5-C6_6,36.0803732,140.0800484,182.307637,2,2,0,0,1
C5-C6_7,36.0803371,140.0800466,170.997784,2,2,0,0,1
C5-C6_8,36.0803019,140.0800535,176.178731,2,2,0,0,1
C5-C6_9,36.0802656,140.0800565,184.472127,2,2,0,0,1
C5-C6_10,36.0802284,140.0800529,185.159869,2,2,0,0,1
C5-C6_11,36.0801926,140.0800489,184.041902,2,2,0,0,1
C5-C6_12,36.080156,140.0800457,176.733338,2,2,0,0,1
C5-C6_13,36.0801206,140.0800482,168.515124,2,2,0,0,1
C6,36.0800848,140.0800572,168.515124,2,2,0,0,1
