label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C6,36.0800848,140.0800572,112.413303,2,2,0,0,1
C6-C5_1,36.0800847,140.0800575,112.413303,2,2,0,0,1
C6-C5_2,36.0800847,140.0800575,309.518671,2,2,0,0,1
C6-C5_3,36.0800865,140.0800548,1.827253,2,2,0,0,1
C6-C5_4,36.0801245,140.0800563,3.885302,2,2,0,0,1
C6-C5_5,36.0801602,140.0800593,3.416281,2,2,0,0,1
C6-C5_6,36.0801954,140.0800619,1.493405,2,2,0,0,1
C6-C5_7,36.0802326,140.0800631,0.000000,2,2,0,0,1
C6-C5_8,36.0802701,140.0800631,357.658441,2,2,0,0,1
C6-C5_9,36.0803037,140.0800614,355.510912,2,2,0,0,1
C6-C5_10,36.0803387,140.080058,347.220283,2,2,0,0,1
C6-C5_11,36.0803754,140.0800477,339.516649,2,2,0,0,1
C6-C5_12,36.0804098,140.0800318,335.274834,2,2,0,0,1
C6-C5_13,36.0804442,140.0800122,325.556747,2,2,0,0,1
C6-C5_14,36.0804726,140.0799881,329.124426,2,2,0,0,1
C6-C5_15,36.0805045,140.0799645,326.040061,2,2,0,0,1
C5,36.0805273,140.0799455,326.040061,2,2,0,0,1
