label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C4,36.0815492,140.0798405,64.417872,2,2,0,0,1
C4-C102_1,36.0815557,140.0798573,53.994195,2,2,0,0,1
C4-C102_2,36.0815779,140.0798951,65.748840,2,2,0,0,1
C4-C102_3,36.0815929,140.0799363,67.479804,2,2,0,0,1
C4-C102_4,36.0816056,140.0799742,58.862268,2,2,0,0,1
C4-C102_5,36.0816243,140.0800125,56.012932,2,2,0,0,1
C4-C102_6,36.0816492,140.0800582,51.928081,2,2,0,0,1
C4-C102_7,36.0816718,140.0800939,51.044578,2,2,0,0,1
C4-C102_8,36.0816948,140.0801291,49.070770,2,2,0,0,1
C4-C102_9,36.0817215,140.0801672,48.405637,2,2,0,0,1
C4-C102_10,36.0817446,140.0801994,47.339069,2,2,0,0,1
C4-C102_11,36.0817694,140.0802327,46.672546,2,2,0,0,1
C4-C102_12,36.0817957,140.0802672,55.674848,2,2,0,0,1
C4-C102_13,36.0818154,140.0803029,34.302859,2,2,0,0,1
C4-C102_14,36.0818462,140.0803289,49.424883,2,2,0,0,1
C4-C102_15,36.0818698,140.080363,50.864921,2,2,0,0,1
C4-C102_16,36.081894,140.0803998,76.938223,2,2,0,0,1
C4-C102_17,36.0819018,140.0804414,90.654880,2,2,0,0,1
C4-C102_18,36.0819014,140.0804847,95.248220,2,2,0,0,1
C4-C102_19,36.081898,140.0805305,85.127874,2,2,0,0,1
C4-C102_20,36.0819011,140.0805755,90.955788,2,2,0,0,1
C4-C102_21,36.0819005,140.08062,96.891210,2,2,0,0,1
C4-C102_22,36.0818963,140.080663,107.522907,2,2,0,0,1
C4-C102_23,36.0818852,140.0807065,93.555007,2,2,0,0,1
C4-C102_24,36.0818828,140.0807543,103.669742,2,2,0,0,1
C4-C102_25,36.0818748,140.080795,103.158590,2,2,0,0,1
C4-C102_26,36.0818666,140.0808384,84.871878,2,2,0,0,1
C4-C102_27,36.0818699,140.0808839,106.885990,2,2,0,0,1
C4-C102_28,36.0818594,140.0809267,87.485490,2,2,0,0,1
C4-C102_29,36.0818611,140.0809746,64.852360,2,2,0,0,1
C4-C102_30,36.0818762,140.0810144,31.722940,2,2,0,0,1
C4-C102_31,36.0819081,140.0810388,8.336636,2,2,0,0,1
C4-C102_32,36.0819445,140.0810454,4.047611,2,2,0,0,1
C102,36.0819662,140.0810473,4.047611,2,2,0,0,1
