label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C14,36.0810179,140.0811195,107.188673,2,2,0,0,1
C14-C21_1,36.0810177,140.0811203,88.410834,2,2,0,0,1
C14-C21_2,36.0810187,140.0811649,80.018749,2,2,0,0,1
C14-C21_3,36.0810252,140.0812106,75.097588,2,2,0,0,1
C14-C21_4,36.0810349,140.0812557,68.523319,2,2,0,0,1
C14-C21_5,36.0810487,140.0812991,63.698463,2,2,0,0,1
C14-C21_6,36.0810634,140.0813359,73.784073,2,2,0,0,1
C14-C21_7,36.0810744,140.0813827,85.284379,2,2,0,0,1
C21,36.0810749,140.0813902,85.284379,2,2,0,0,1
