label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C7,36.0816373,140.0803448,181.200825,2,2,0,0,1
C7-C8_1,36.0816026,140.0803439,181.012032,2,2,0,0,1
C7-C8_2,36.081566,140.0803431,192.929358,2,2,0,0,1
C7-C8_3,36.0815315,140.0803333,178.608584,2,2,0,0,1
C7-C8_4,36.0814949,140.0803344,184.114331,2,2,0,0,1
C7-C8_5,36.0814567,140.080331,186.988975,2,2,0,0,1
C7-C8_6,36.0814211,140.0803256,185.489724,2,2,0,0,1
C7-C8_7,36.0813841,140.0803212,183.227192,2,2,0,0,1
C7-C8_8,36.0813454,140.0803185,175.216578,2,2,0,0,1
C7-C8_9,36.0813087,140.0803223,184.779104,2,2,0,0,1
C7-C8_10,36.081271,140.0803184,191.327492,2,2,0,0,1
C8,36.0812593,140.0803155,191.327492,2,2,0,0,1
