label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C8,36.0812593,140.0803155,194.775737,2,2,0,0,1
C8-C9_1,36.0812354,140.0803077,169.550277,2,2,0,0,1
C8-C9_2,36.0811964,140.0803166,158.413867,2,2,0,0,1
C8-C9_3,36.0811629,140.080333,149.848458,2,2,0,0,1
C8-C9_4,36.0811309,140.080356,141.665117,2,2,0,0,1
C8-C9_5,36.0811031,140.0803832,133.311644,2,2,0,0,1
C8-C9_6,36.0810775,140.0804168,130.238810,2,2,0,0,1
C8-C9_7,36.0810537,140.0804516,131.778463,2,2,0,0,1
C8-C9_8,36.0810298,140.0804847,141.842014,2,2,0,0,1
C8-C9_9,36.081001,140.0805127,141.842014,2,2,0,0,1
C8-C9_10,36.081001,140.0805127,136.640928,2,2,0,0,1
C8-C9_11,36.0809915,140.0805238,126.121893,2,2,0,0,1
C8-C9_12,36.0809695,140.0805611,132.802245,2,2,0,0,1
C8-C9_13,36.0809454,140.0805933,128.334314,2,2,0,0,1
C8-C9_14,36.0809238,140.0806271,149.544498,2,2,0,0,1
C8-C9_15,36.0808915,140.0806506,152.151200,2,2,0,0,1
C8-C9_16,36.0808606,140.0806708,163.699974,2,2,0,0,1
C8-C9_17,36.0808255,140.0806835,158.164124,2,2,0,0,1
C8-C9_18,36.0807898,140.0807012,173.781066,2,2,0,0,1
C8-C9_19,36.0807542,140.080706,144.306942,2,2,0,0,1
C9,36.0807479,140.0807116,144.306942,2,2,0,0,1
