label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C8,36.0812603,140.0803223,42.277279,0,0,0,0,1
C8-C13_1,36.0812611,140.0803232,76.100331,0,0,0,0,1
C8-C13_2,36.0812612,140.0803237,96.990681,0,0,0,0,1
C8-C13_3,36.0812568,140.0803681,91.881468,0,0,0,0,1
C8-C13_4,36.0812556,140.0804133,95.085736,0,0,0,0,1
C8-C13_5,36.0812525,140.0804564,93.834375,0,0,0,0,1
C8-C13_6,36.0812499,140.0805044,91.779872,0,0,0,0,1
C8-C13_7,36.0812488,140.0805482,95.297781,0,0,0,0,1
C8-C13_8,36.0812456,140.0805909,92.908966,0,0,0,0,1
C8-C13_9,36.0812436,140.0806396,92.399078,0,0,0,0,1
C8-C13_10,36.0812421,140.0806839,98.198420,0,0,0,0,1
C8-C13_11,36.081237,140.0807277,91.300582,0,0,0,0,1
C8-C13_12,36.0812362,140.0807713,92.180305,0,0,0,0,1
C8-C13_13,36.0812348,140.0808168,90.605904,0,0,0,0,1
C8-C13_14,36.0812345,140.0808519,103.009981,0,0,0,0,1
C8-C13_15,36.0812269,140.0808926,87.800896,0,0,0,0,1
C8-C13_16,36.0812278,140.0809216,45.291534,0,0,0,0,1
C13,36.0812286,140.0809226,45.291534,0,0,0,0,1
