label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C21,36.0810749,140.0813902,70.430743,2,2,0,0,1
C21-C20_1,36.0810853,140.0814264,50.521508,2,2,0,0,1
C21-C20_2,36.0811084,140.0814611,47.808782,2,2,0,0,1
C21-C20_3,36.0811347,140.081497,51.718646,2,2,0,0,1
C21-C20_4,36.0811583,140.081534,32.695147,2,2,0,0,1
C21-C20_5,36.0811894,140.0815587,37.455366,2,2,0,0,1
C21-C20_6,36.0812182,140.081586,36.260012,2,2,0,0,1
C21-C20_7,36.0812485,140.0816135,29.846557,2,2,0,0,1
C21-C20_8,36.0812816,140.081637,47.726981,2,2,0,0,1
C20,36.0812852,140.0816419,47.726981,2,2,0,0,1
