label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C2,36.0806004,140.079567,197.003705,1.5,1.5,0,0,1
C2-C5_1,36.0805967,140.0795656,225.291764,1.5,1.5,0,0,1
C2-C5_2,36.0805963,140.0795651,163.899794,1.5,1.5,0,0,1
C2-C5_3,36.0805949,140.0795656,125.577410,1.5,1.5,0,0,1
C2-C5_4,36.0805912,140.079572,98.114157,1.5,1.5,0,0,1
C2-C5_5,36.0805856,140.0796206,97.368443,1.5,1.5,0,0,1
C2-C5_6,36.0805812,140.0796627,97.844902,1.5,1.5,0,0,1
C2-C5_7,36.0805761,140.0797085,94.172287,1.5,1.5,0,0,1
C2-C5_8,36.0805735,140.0797526,101.046543,1.5,1.5,0,0,1
C2-C5_9,36.0805664,140.0797976,95.728978,1.5,1.5,0,0,1
C2-C5_10,36.0805628,140.079842,85.577915,1.5,1.5,0,0,1
C2-C5_11,36.0805655,140.0798852,98.034329,1.5,1.5,0,0,1
C2-C5_12,36.0805608,140.0799264,107.670161,1.5,1.5,0,0,1
C5,36.0805539,140.0799532,107.670161,1.5,1.5,0,0,1
