label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C9,36.0807479,140.0807116,131.784978,2,2,0,0,1
C9-C15_1,36.0807401,140.0807224,76.255866,2,2,0,0,1
C9-C15_2,36.0807486,140.0807654,78.523668,2,2,0,0,1
C9-C15_3,36.080756,140.0808105,75.293544,2,2,0,0,1
C9-C15_4,36.0807651,140.0808534,65.948639,2,2,0,0,1
C9-C15_5,36.0807796,140.0808936,59.654999,2,2,0,0,1
C9-C15_6,36.0807972,140.0809308,73.714316,2,2,0,0,1
C9-C15_7,36.0808074,140.080974,69.345741,2,2,0,0,1
C9-C15_8,36.0808205,140.081017,63.416889,2,2,0,0,1
C9-C15_9,36.080837,140.0810578,60.085500,2,2,0,0,1
C9-C15_10,36.0808556,140.0810978,52.657450,2,2,0,0,1
C9-C15_11,36.0808786,140.0811351,55.592844,2,2,0,0,1
C9-C15_12,36.0808998,140.0811734,44.065675,2,2,0,0,1
C9-C15_13,36.0809251,140.0812037,40.047500,2,2,0,0,1
C15,36.0809301,140.0812089,40.047500,2,2,0,0,1
