label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C10,36.080017,140.0808861,91.476619,2,2,0,0,1
C10-C18_1,36.0800169,140.0808909,138.343813,2,2,0,0,1
C10-C18_2,36.0799891,140.0809215,126.442262,2,2,0,0,1
C10-C18_3,36.0799669,140.0809587,116.809403,2,2,0,0,1
C10-C18_4,36.0799504,140.0809991,113.543544,2,2,0,0,1
C10-C18_5,36.0799348,140.0810434,127.798413,2,2,0,0,1
C10-C18_6,36.0799138,140.0810769,118.646220,2,2,0,0,1
C10-C18_7,36.0798972,140.0811145,113.885249,2,2,0,0,1
C10-C18_8,36.0798836,140.0811525,112.922633,2,2,0,0,1
C10-C18_9,36.0798701,140.081192,125.086369,2,2,0,0,1
C10-C18_10,36.0798504,140.0812267,130.854211,2,2,0,0,1
C10-C18_11,36.0798237,140.0812649,142.571778,2,2,0,0,1
C18,36.0798105,140.0812774,142.571778,2,2,0,0,1
