label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C12,36.0813687,140.0810079,338.686438,2,2,0,0,1
C12-C11_1,36.0813948,140.0809953,355.100802,2,2,0,0,1
C12-C11_2,36.0814278,140.0809918,11.135448,2,2,0,0,1
C12-C11_3,36.0814627,140.0810003,2.800107,2,2,0,0,1
C12-C11_4,36.0814974,140.0810024,0.875978,2,2,0,0,1
C12-C11_5,36.0815344,140.0810031,5.884818,2,2,0,0,1
C12-C11_6,36.0815689,140.0810075,2.830198,2,2,0,0,1
C12-C11_7,36.0816065,140.0810098,6.299115,2,2,0,0,1
C11,36.081627,140.0810126,6.299115,2,2,0,0,1
