label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
1,28226.854687,44617.570296,-222.821624,0.000000000,0.000000000,-0.734053399,0.679091751,0,0,0,0,0
2,28226.469667,44612.437242,-222.783898,0.000000000,0.000000000,-0.734053411,0.679091739,0,0,0,0,0
3,28226.084647,44607.304189,-222.746176,0.000000000,0.000000000,-0.734053429,0.679091719,0,0,0,0,0
4,28225.699626,44602.171135,-222.708458,0.000000000,0.000000000,-0.734053447,0.679091700,0,0,0,0,0
5,28225.314605,44597.038081,-222.670745,0.000000000,0.000000000,-0.734053459,0.679091687,0,0,0,0,0
6,28224.929583,44591.905028,-222.633035,0.000000000,0.000000000,-0.734053476,0.679091668,0,0,0,0,0
7,28224.544561,44586.771974,-222.595330,0.000000000,0.000000000,-0.734053488,0.679091655,0,0,0,0,0
8,28224.159538,44581.638921,-222.557629,0.000000000,0.000000000,-0.734053506,0.679091636,0,0,0,0,0
9,28223.774515,44576.505867,-222.519932,0.000000000,0.000000000,-0.734053524,0.679091617,0,0,0,0,0
10,28223.389492,44571.372814,-222.482239,0.000000000,0.000000000,-0.734053536,0.679091604,0,0,0,0,0
11,28223.004468,44566.239761,-222.444550,0.000000000,0.000000000,-0.734053553,0.679091585,0,0,0,0,0
12,28222.619443,44561.106707,-222.406866,0.000000000,0.000000000,-0.734053565,0.679091572,0,0,0,0,0
13,28222.234418,44555.973654,-222.369186,0.000000000,0.000000000,-0.734053583,0.679091553,0,0,0,0,0
14,28221.849392,44550.840601,-222.331510,0.000000000,0.000000000,-0.734053601,0.679091534,0,0,0,0,0
15,28221.464366,44545.707547,-222.293838,0.000000000,0.000000000,-0.734053613,0.679091521,0,0,0,0,0
16,28221.079339,44540.574494,-222.256170,0.000000000,0.000000000,-0.734053631,0.679091502,0,0,0,0,0
17,28220.694312,44535.441441,-222.218506,0.000000000,0.000000000,-0.734053642,0.679091489,0,0,0,0,0
18,28220.309285,44530.308388,-222.180847,0.000000000,0.000000000,-0.734053660,0.679091470,0,0,0,0,0
19,28219.924257,44525.175334,-222.143192,0.000000000,0.000000000,-0.734053678,0.679091450,0,0,0,0,0
20,28219.539228,44520.042281,-222.105541,0.000000000,0.000000000,-0.734053690,0.679091438,0,0,0,0,0
21,28219.154199,44514.909228,-222.067894,0.000000000,0.000000000,-0.734053708,0.679091418,0,0,0,0,0
22,28218.769170,44509.776175,-222.030251,0.000000000,0.000000000,-0.734053725,0.679091399,0,0,0,0,0
23,28218.384140,44504.643122,-221.992612,0.000000000,0.000000000,-0.734053737,0.679091386,0,0,0,0,0
24,28217.999109,44499.510069,-221.954978,0.000000000,0.000000000,-0.734053755,0.679091367,0,0,0,0,0
25,28217.614078,44494.377016,-221.917347,0.000000000,0.000000000,0.000000157,1.000000000,0,0,0,0,0
26,28223.168328,44494.394732,-221.942019,0.000000000,0.000000000,0.000000157,1.000000000,0,0,0,0,0
27,28228.722579,44494.412451,-221.966695,0.000000000,0.000000000,0.000000157,1.000000000,0,0,0,0,0
28,28234.276829,44494.430174,-221.991376,0.000000000,0.000000000,0.000000157,1.000000000,0,0,0,0,0
29,28239.831079,44494.447901,-222.016062,0.000000000,0.000000000,0.000000157,1.000000000,0,0,0,0,0
30,28245.385329,44494.465631,-222.040753,0.000000000,0.000000000,0.000000157,1.000000000,0,0,0,0,0
31,28250.939579,44494.483364,-222.065448,0.000000000,0.000000000,-0.465714221,0.884935175,0,0,0,0,0
32,28254.016234,44490.054854,-222.048067,0.000000000,0.000000000,-0.465714221,0.884935175,0,0,1,0,0
